
code	|	name	|	preferred name	|	lineage
1	|	ABIES GRANDIS	|	Abies grandis	|	46611 3319 3318 1446380 3313 58019 1437180 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	ABRUS PRECATORIUS	|	Abrus precatorius	|	3816 3815 163715 2233855 2231382 2231393 3814 3803 72025 91835 71275 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	ACANTHAMOEBA CASTELLANII	|	Acanthamoeba castellanii	|	5755 5754 33677 555407 1485168 555280 554915 2759 131567 
1	|	ACANTHAMOEBA CULBERTSONI	|	Acanthamoeba culbertsoni	|	43142 5754 33677 555407 1485168 555280 554915 2759 131567 
1	|	ACANTHAMOEBA POLYPHAGA	|	Acanthamoeba polyphaga	|	5757 5754 33677 555407 1485168 555280 554915 2759 131567 
1	|	ACANTHAMOEBA POLYPHAGA MIMIVIRUS	|	Acanthamoeba polyphaga mimivirus	|	212035 315393 549779 2732554 2732523 2732007 2732005 2732004 10239 
1	|	ACANTHAMOEBA SP.	|	Acanthamoeba sp.	|	5756 279890 5754 33677 555407 1485168 555280 554915 2759 131567 
1	|	ACANTHAMOEBA	|	Acanthamoeba	|	5754 33677 555407 1485168 555280 554915 2759 131567 
2	|	ACANTHOPAGRUS SCHLEGELI	|	Acanthopagrus schlegelii	|	72011 8176 8169 1489931 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	ACARYOCHLORIS MARINA	|	Acaryochloris marina	|	155978 155977 1890429 1890424 1117 1798711 1783272 2 131567 
1	|	ACETABULARIA ACETABULUM	|	Acetabularia acetabulum	|	35845 3136 285966 3134 2546214 33103 3041 33090 2759 131567 
1	|	ACETIVIBRIO CELLULOLYTICUS	|	Hungateiclostridium cellulolyticum	|	35830 2304692 2304686 186802 186801 1239 1783272 2 131567 
1	|	ACETOBACTER ACETI	|	Acetobacter aceti	|	435 151157 434 433 204441 28211 1224 2 131567 
1	|	ACETOBACTER ACETI 1023	|	Acetobacter aceti 1023	|	1457393 435 151157 434 433 204441 28211 1224 2 131567 
1	|	ACETOBACTERIUM WOODII	|	Acetobacterium woodii	|	33952 33951 186806 186802 186801 1239 1783272 2 131567 
1	|	ACETOBACTER PASTEURIANUS	|	Acetobacter pasteurianus	|	438 434 433 204441 28211 1224 2 131567 
1	|	ACETOBACTER XYLINUS	|	Komagataeibacter xylinus	|	28448 1434011 433 204441 28211 1224 2 131567 
1	|	ACHETA DOMESTICA DENSOVIRUS	|	Acheta domestica densovirus	|	185639 2745121 2733229 40120 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ACHOLEPLASMA LAIDLAWII	|	Acholeplasma laidlawii	|	2148 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	ACHROMOBACTER CYCLOCLASTES	|	Achromobacter cycloclastes	|	223 222 506 80840 28216 1224 2 131567 
1	|	ACHROMOBACTER DENITRIFICANS	|	Achromobacter denitrificans	|	32002 222 506 80840 28216 1224 2 131567 
1	|	ACHROMOBACTER LYTICUS	|	Achromobacter lyticus	|	224 222 506 80840 28216 1224 2 131567 
1	|	ACHROMOBACTER OBAE	|	Achromobacter obae	|	37486 222 506 80840 28216 1224 2 131567 
1	|	ACHROMOBACTER SP. DH1F	|	Achromobacter sp. DH1f	|	1397275 2626865 222 506 80840 28216 1224 2 131567 
1	|	ACHROMOBACTER XYLOSOXIDANS	|	Achromobacter xylosoxidans	|	85698 222 506 80840 28216 1224 2 131567 
1	|	ACIDAMINOCOCCUS FERMENTANS	|	Acidaminococcus fermentans	|	905 904 909930 1843488 909932 1239 1783272 2 131567 
1	|	ACIDAMINOCOCCUS SP. BV3L6	|	Acidaminococcus sp. BV3L6	|	1111120 2635771 904 909930 1843488 909932 1239 1783272 2 131567 
1	|	ACIDAMINOCOCCUS SP. D21	|	Acidaminococcus intestini	|	187327 904 909930 1843488 909932 1239 1783272 2 131567 
1	|	ACIDAMINOCOCCUS SP.	|	Acidaminococcus sp.	|	1872103 2635771 904 909930 1843488 909932 1239 1783272 2 131567 
1	|	ACIDIANUS AMBIVALENS	|	Acidianus ambivalens	|	2283 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	ACIDIANUS FILAMENTOUS VIRUS 1	|	Acidianus filamentous virus 1	|	235266 341941 10477 1511857 10239 
